Crop,Disease,Symptoms,Recommended Pesticide,Dosage & Application,Weather Conditions,Recommended_Fertilizer
Maize,Blight,Drooping leaves with yellow patches,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Low rainfall,Superphosphate
Wheat,Bacterial Wilt,Irregularly shaped brown blotches,Mancozeb,Sprinkle powder directly on infected areas,Heavy rainfall,Urea
Potato,Blight,Small brown or black circular spots,Propiconazole,Sprinkle powder directly on infected areas,Drought conditions,Superphosphate
Sugarcane,Blight,White powdery coating on leaves,Sulfur Dust,Spray in low sunlight conditions for best absorption,Heavy rainfall,Superphosphate
Cotton,Powdery Mildew,Black lesions on stem and roots,Mancozeb,Apply 1.5ml per liter of water weekly,Cold temperature,Superphosphate
Barley,Leaf Spot,Drooping leaves with yellow patches,Dithane M-45,Use every 10 days for effective results,Low rainfall,General NPK 20-20-20
Groundnut,Root Rot,Irregularly shaped brown blotches,Propiconazole,Apply 1.5ml per liter of water weekly,Cold temperature,Urea
Barley,Rust,Stem lesions with hollow decay,Neem Oil,Sprinkle powder directly on infected areas,Drought conditions,General NPK 20-20-20
Barley,Bacterial Wilt,Small brown or black circular spots,Carbendazim,Apply 1.5ml per liter of water weekly,Heavy rainfall,Urea
Groundnut,Stem Rot,Stem lesions with hollow decay,Dithane M-45,Use every 10 days for effective results,High humidity,Urea
Tomato,Blight,White powdery coating on leaves,Carbendazim,Mix with organic compost and apply near roots,Heavy rainfall,Superphosphate
Potato,Blight,Black lesions on stem and roots,Sulfur Dust,Apply when humidity is above 60%,Hot summer season,Superphosphate
Sugarcane,Rust,Drooping leaves with yellow patches,Mancozeb,Apply when humidity is above 60%,Hot summer season,General NPK 20-20-20
Rice,Bacterial Wilt,Wilting and stunted growth,Dithane M-45,Use every 10 days for effective results,Hot summer season,Urea
Wheat,Rust,Yellowing of leaves with brown spots,Sulfur Dust,Sprinkle powder directly on infected areas,Cold temperature,General NPK 20-20-20
Barley,Bacterial Wilt,Stem lesions with hollow decay,Chlorothalonil,Apply when humidity is above 60%,Foggy conditions,Urea
Cotton,Root Rot,Yellowing of leaves with brown spots,Copper Oxychloride,Spray in low sunlight conditions for best absorption,Hot summer season,Urea
Maize,Blight,Small brown or black circular spots,Trichoderma,Spray in low sunlight conditions for best absorption,Hot summer season,Superphosphate
Rice,Mosaic Virus,Drooping leaves with yellow patches,Neem Oil,Use every 10 days for effective results,Heavy rainfall,10-10-10 NPK
Soybean,Rust,Curling and mosaic pattern on leaves,Chlorothalonil,Spray in low sunlight conditions for best absorption,Warm and dry climate,General NPK 20-20-20
Wheat,Leaf Spot,Small brown or black circular spots,Dithane M-45,Use 5ml per liter in early morning,Warm and dry climate,General NPK 20-20-20
Maize,Bacterial Wilt,Drooping leaves with yellow patches,Sulfur Dust,Mix with organic compost and apply near roots,Heavy rainfall,Urea
Groundnut,Root Rot,Wilting and stunted growth,Mancozeb,Sprinkle powder directly on infected areas,High humidity,Urea
Potato,Leaf Spot,Mold growth on affected areas,Neem Oil,Sprinkle powder directly on infected areas,Hot summer season,General NPK 20-20-20
Cotton,Root Rot,Yellowing of leaves with brown spots,Carbendazim,Apply when humidity is above 60%,High humidity,Urea
Wheat,Rust,Mold growth on affected areas,Dithane M-45,Apply when humidity is above 60%,Hot summer season,General NPK 20-20-20
Soybean,Rust,White powdery coating on leaves,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Drought conditions,General NPK 20-20-20
Groundnut,Bacterial Wilt,Small brown or black circular spots,Mancozeb,Apply 1.5ml per liter of water weekly,Foggy conditions,Urea
Potato,Mosaic Virus,Stem lesions with hollow decay,Trichoderma,Spray in low sunlight conditions for best absorption,Low rainfall,10-10-10 NPK
Potato,Mosaic Virus,Stem lesions with hollow decay,Sulfur Dust,Dilute with 3 liters of water for every hectare,Cold temperature,10-10-10 NPK
Groundnut,Root Rot,Wilting and stunted growth,Sulfur Dust,Dilute with 3 liters of water for every hectare,High humidity,Urea
Maize,Root Rot,Wilting and stunted growth,Mancozeb,Sprinkle powder directly on infected areas,Hot summer season,Urea
Maize,Stem Rot,Yellowing of leaves with brown spots,Sulfur Dust,Use every 10 days for effective results,Drought conditions,Urea
Cotton,Rust,Drooping leaves with yellow patches,Neem Oil,Sprinkle powder directly on infected areas,Foggy conditions,General NPK 20-20-20
Rice,Rust,Drooping leaves with yellow patches,Sulfur Dust,Use every 10 days for effective results,Heavy rainfall,General NPK 20-20-20
Barley,Powdery Mildew,Stem lesions with hollow decay,Carbendazim,Mix with organic compost and apply near roots,Warm and dry climate,Superphosphate
Wheat,Leaf Spot,Mold growth on affected areas,Carbendazim,Apply 1.5ml per liter of water weekly,Low rainfall,General NPK 20-20-20
Rice,Root Rot,White powdery coating on leaves,Chlorothalonil,Spray in low sunlight conditions for best absorption,Low rainfall,Urea
Soybean,Root Rot,White powdery coating on leaves,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Urea
Barley,Leaf Spot,Irregularly shaped brown blotches,Neem Oil,Sprinkle powder directly on infected areas,Heavy rainfall,General NPK 20-20-20
Maize,Mosaic Virus,Black lesions on stem and roots,Trichoderma,Use 5ml per liter in early morning,Low rainfall,10-10-10 NPK
Maize,Stem Rot,Mold growth on affected areas,Mancozeb,Sprinkle powder directly on infected areas,Cold temperature,Urea
Groundnut,Stem Rot,Irregularly shaped brown blotches,Mancozeb,Dilute with 3 liters of water for every hectare,Heavy rainfall,Urea
Maize,Rust,Mold growth on affected areas,Trichoderma,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,General NPK 20-20-20
Rice,Leaf Spot,White powdery coating on leaves,Copper Oxychloride,Apply when humidity is above 60%,Hot summer season,General NPK 20-20-20
Rice,Powdery Mildew,Curling and mosaic pattern on leaves,Neem Oil,Apply when humidity is above 60%,Drought conditions,Superphosphate
Barley,Powdery Mildew,Yellowing of leaves with brown spots,Trichoderma,Apply when humidity is above 60%,Low rainfall,Superphosphate
Barley,Leaf Spot,Small brown or black circular spots,Neem Oil,Apply 1.5ml per liter of water weekly,Foggy conditions,General NPK 20-20-20
Soybean,Leaf Spot,White powdery coating on leaves,Chlorothalonil,Apply 1.5ml per liter of water weekly,Low rainfall,General NPK 20-20-20
Soybean,Root Rot,Stem lesions with hollow decay,Sulfur Dust,Use every 10 days for effective results,Foggy conditions,Urea
Rice,Stem Rot,Small brown or black circular spots,Copper Oxychloride,Mix with organic compost and apply near roots,Hot summer season,Urea
Tomato,Bacterial Wilt,Stem lesions with hollow decay,Sulfur Dust,Apply when humidity is above 60%,Low rainfall,Urea
Tomato,Root Rot,Yellowing of leaves with brown spots,Neem Oil,Apply when humidity is above 60%,Drought conditions,Urea
Wheat,Root Rot,Wilting and stunted growth,Trichoderma,Spray in low sunlight conditions for best absorption,Hot summer season,Urea
Maize,Powdery Mildew,Yellowing of leaves with brown spots,Dithane M-45,Apply when humidity is above 60%,High humidity,Superphosphate
Potato,Stem Rot,Drooping leaves with yellow patches,Dithane M-45,Use every 10 days for effective results,Cold temperature,Urea
Soybean,Blight,White powdery coating on leaves,Trichoderma,Mix with organic compost and apply near roots,Hot summer season,Superphosphate
Tomato,Mosaic Virus,Black lesions on stem and roots,Neem Oil,Dilute with 3 liters of water for every hectare,Drought conditions,10-10-10 NPK
Soybean,Root Rot,Mold growth on affected areas,Trichoderma,Dilute with 3 liters of water for every hectare,Foggy conditions,Urea
Rice,Stem Rot,Yellowing of leaves with brown spots,Carbendazim,Spray in low sunlight conditions for best absorption,High humidity,Urea
Rice,Leaf Spot,Drooping leaves with yellow patches,Propiconazole,Spray in low sunlight conditions for best absorption,Foggy conditions,General NPK 20-20-20
Maize,Leaf Spot,Yellowing of leaves with brown spots,Chlorothalonil,Use 5ml per liter in early morning,High humidity,General NPK 20-20-20
Sugarcane,Mosaic Virus,Stem lesions with hollow decay,Chlorothalonil,Apply 1.5ml per liter of water weekly,High humidity,10-10-10 NPK
Maize,Powdery Mildew,Yellowing of leaves with brown spots,Neem Oil,Mix with organic compost and apply near roots,Drought conditions,Superphosphate
Sugarcane,Mosaic Virus,Yellowing of leaves with brown spots,Trichoderma,Apply when humidity is above 60%,Cold temperature,10-10-10 NPK
Cotton,Blight,Yellowing of leaves with brown spots,Neem Oil,Use every 10 days for effective results,Drought conditions,Superphosphate
Tomato,Powdery Mildew,Mold growth on affected areas,Trichoderma,Apply 1.5ml per liter of water weekly,Cold temperature,Superphosphate
Potato,Stem Rot,Drooping leaves with yellow patches,Chlorothalonil,Use 5ml per liter in early morning,Cold temperature,Urea
Groundnut,Bacterial Wilt,White powdery coating on leaves,Neem Oil,Apply 1.5ml per liter of water weekly,Low rainfall,Urea
Sugarcane,Blight,Black lesions on stem and roots,Sulfur Dust,Use every 10 days for effective results,Drought conditions,Superphosphate
Sugarcane,Mosaic Virus,White powdery coating on leaves,Carbendazim,Sprinkle powder directly on infected areas,Drought conditions,10-10-10 NPK
Wheat,Root Rot,Wilting and stunted growth,Chlorothalonil,Spray in low sunlight conditions for best absorption,Warm and dry climate,Urea
Sugarcane,Mosaic Virus,Mold growth on affected areas,Sulfur Dust,Mix with organic compost and apply near roots,Low rainfall,10-10-10 NPK
Potato,Root Rot,Drooping leaves with yellow patches,Carbendazim,Use every 10 days for effective results,Heavy rainfall,Urea
Cotton,Mosaic Virus,Small brown or black circular spots,Sulfur Dust,Use every 10 days for effective results,High humidity,10-10-10 NPK
Maize,Powdery Mildew,Black lesions on stem and roots,Neem Oil,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Superphosphate
Sugarcane,Powdery Mildew,Black lesions on stem and roots,Dithane M-45,Apply 1.5ml per liter of water weekly,Heavy rainfall,Superphosphate
Cotton,Rust,Small brown or black circular spots,Trichoderma,Apply when humidity is above 60%,Foggy conditions,General NPK 20-20-20
Maize,Bacterial Wilt,White powdery coating on leaves,Trichoderma,Spray in low sunlight conditions for best absorption,High humidity,Urea
Rice,Mosaic Virus,Drooping leaves with yellow patches,Dithane M-45,Use 5ml per liter in early morning,Foggy conditions,10-10-10 NPK
Soybean,Powdery Mildew,Stem lesions with hollow decay,Chlorothalonil,Mix 2g per liter of water and spray on affected leaves,Hot summer season,Superphosphate
Tomato,Stem Rot,Curling and mosaic pattern on leaves,Carbendazim,Dilute with 3 liters of water for every hectare,Cold temperature,Urea
Tomato,Root Rot,White powdery coating on leaves,Propiconazole,Apply when humidity is above 60%,Warm and dry climate,Urea
Wheat,Blight,Drooping leaves with yellow patches,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Hot summer season,Superphosphate
Groundnut,Rust,Curling and mosaic pattern on leaves,Copper Oxychloride,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
Soybean,Mosaic Virus,Black lesions on stem and roots,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Drought conditions,10-10-10 NPK
Sugarcane,Bacterial Wilt,Wilting and stunted growth,Chlorothalonil,Apply when humidity is above 60%,Cold temperature,Urea
Sugarcane,Leaf Spot,Small brown or black circular spots,Trichoderma,Spray in low sunlight conditions for best absorption,Foggy conditions,General NPK 20-20-20
Groundnut,Root Rot,Drooping leaves with yellow patches,Copper Oxychloride,Dilute with 3 liters of water for every hectare,High humidity,Urea
Rice,Rust,Small brown or black circular spots,Propiconazole,Sprinkle powder directly on infected areas,Drought conditions,General NPK 20-20-20
Sugarcane,Rust,Black lesions on stem and roots,Dithane M-45,Apply when humidity is above 60%,Low rainfall,General NPK 20-20-20
Tomato,Powdery Mildew,Stem lesions with hollow decay,Sulfur Dust,Use every 10 days for effective results,Foggy conditions,Superphosphate
Rice,Root Rot,Yellowing of leaves with brown spots,Dithane M-45,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Maize,Root Rot,Small brown or black circular spots,Dithane M-45,Use every 10 days for effective results,Heavy rainfall,Urea
Potato,Rust,Irregularly shaped brown blotches,Trichoderma,Mix with organic compost and apply near roots,Foggy conditions,General NPK 20-20-20
Potato,Rust,Drooping leaves with yellow patches,Trichoderma,Mix with organic compost and apply near roots,Low rainfall,General NPK 20-20-20
Barley,Root Rot,Stem lesions with hollow decay,Trichoderma,Mix 2g per liter of water and spray on affected leaves,High humidity,Urea
Soybean,Mosaic Virus,Black lesions on stem and roots,Dithane M-45,Use every 10 days for effective results,Hot summer season,10-10-10 NPK
Potato,Bacterial Wilt,Black lesions on stem and roots,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Drought conditions,Urea
Potato,Root Rot,Curling and mosaic pattern on leaves,Mancozeb,Use every 10 days for effective results,Hot summer season,Urea
Barley,Blight,Black lesions on stem and roots,Copper Oxychloride,Use every 10 days for effective results,Warm and dry climate,Superphosphate
Cotton,Mosaic Virus,Black lesions on stem and roots,Copper Oxychloride,Mix with organic compost and apply near roots,Low rainfall,10-10-10 NPK
Potato,Blight,Small brown or black circular spots,Copper Oxychloride,Use 5ml per liter in early morning,Low rainfall,Superphosphate
Sugarcane,Powdery Mildew,Drooping leaves with yellow patches,Neem Oil,Use every 10 days for effective results,Hot summer season,Superphosphate
Tomato,Stem Rot,Stem lesions with hollow decay,Trichoderma,Mix 2g per liter of water and spray on affected leaves,Drought conditions,Urea
Cotton,Blight,Stem lesions with hollow decay,Dithane M-45,Dilute with 3 liters of water for every hectare,Low rainfall,Superphosphate
Tomato,Leaf Spot,Small brown or black circular spots,Carbendazim,Dilute with 3 liters of water for every hectare,Drought conditions,General NPK 20-20-20
Barley,Root Rot,Stem lesions with hollow decay,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,Drought conditions,Urea
Sugarcane,Leaf Spot,Drooping leaves with yellow patches,Neem Oil,Apply 1.5ml per liter of water weekly,High humidity,General NPK 20-20-20
Cotton,Powdery Mildew,Wilting and stunted growth,Carbendazim,Spray in low sunlight conditions for best absorption,Heavy rainfall,Superphosphate
Cotton,Stem Rot,Drooping leaves with yellow patches,Chlorothalonil,Use every 10 days for effective results,Heavy rainfall,Urea
Barley,Bacterial Wilt,Yellowing of leaves with brown spots,Trichoderma,Spray in low sunlight conditions for best absorption,Cold temperature,Urea
Soybean,Rust,Irregularly shaped brown blotches,Chlorothalonil,Apply when humidity is above 60%,Heavy rainfall,General NPK 20-20-20
Cotton,Powdery Mildew,Curling and mosaic pattern on leaves,Trichoderma,Use 5ml per liter in early morning,Heavy rainfall,Superphosphate
Sugarcane,Root Rot,White powdery coating on leaves,Carbendazim,Sprinkle powder directly on infected areas,Drought conditions,Urea
Barley,Bacterial Wilt,Mold growth on affected areas,Mancozeb,Use 5ml per liter in early morning,Low rainfall,Urea
Barley,Root Rot,Drooping leaves with yellow patches,Chlorothalonil,Dilute with 3 liters of water for every hectare,Low rainfall,Urea
Maize,Root Rot,Small brown or black circular spots,Mancozeb,Dilute with 3 liters of water for every hectare,Heavy rainfall,Urea
Maize,Bacterial Wilt,Black lesions on stem and roots,Dithane M-45,Use 5ml per liter in early morning,Foggy conditions,Urea
Sugarcane,Rust,Curling and mosaic pattern on leaves,Neem Oil,Dilute with 3 liters of water for every hectare,Heavy rainfall,General NPK 20-20-20
Groundnut,Rust,Irregularly shaped brown blotches,Dithane M-45,Dilute with 3 liters of water for every hectare,High humidity,General NPK 20-20-20
Sugarcane,Blight,Stem lesions with hollow decay,Neem Oil,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Superphosphate
Cotton,Bacterial Wilt,Irregularly shaped brown blotches,Neem Oil,Apply when humidity is above 60%,High humidity,Urea
Tomato,Powdery Mildew,Mold growth on affected areas,Trichoderma,Sprinkle powder directly on infected areas,Cold temperature,Superphosphate
Cotton,Bacterial Wilt,Wilting and stunted growth,Chlorothalonil,Use every 10 days for effective results,Heavy rainfall,Urea
Rice,Stem Rot,Black lesions on stem and roots,Mancozeb,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Urea
Cotton,Powdery Mildew,Yellowing of leaves with brown spots,Mancozeb,Sprinkle powder directly on infected areas,Low rainfall,Superphosphate
Potato,Blight,Small brown or black circular spots,Copper Oxychloride,Mix with organic compost and apply near roots,Hot summer season,Superphosphate
Barley,Mosaic Virus,Black lesions on stem and roots,Neem Oil,Use 5ml per liter in early morning,High humidity,10-10-10 NPK
Soybean,Blight,Stem lesions with hollow decay,Trichoderma,Mix 2g per liter of water and spray on affected leaves,Cold temperature,Superphosphate
Sugarcane,Stem Rot,Stem lesions with hollow decay,Trichoderma,Mix with organic compost and apply near roots,High humidity,Urea
Sugarcane,Blight,Drooping leaves with yellow patches,Neem Oil,Sprinkle powder directly on infected areas,Hot summer season,Superphosphate
Tomato,Leaf Spot,Small brown or black circular spots,Mancozeb,Use 5ml per liter in early morning,Heavy rainfall,General NPK 20-20-20
Potato,Powdery Mildew,Irregularly shaped brown blotches,Neem Oil,Mix 2g per liter of water and spray on affected leaves,Hot summer season,Superphosphate
Rice,Stem Rot,White powdery coating on leaves,Dithane M-45,Use 5ml per liter in early morning,Foggy conditions,Urea
Sugarcane,Root Rot,Irregularly shaped brown blotches,Chlorothalonil,Spray in low sunlight conditions for best absorption,Low rainfall,Urea
Soybean,Blight,White powdery coating on leaves,Neem Oil,Spray in low sunlight conditions for best absorption,High humidity,Superphosphate
Soybean,Mosaic Virus,Yellowing of leaves with brown spots,Neem Oil,Apply 1.5ml per liter of water weekly,High humidity,10-10-10 NPK
Groundnut,Mosaic Virus,Irregularly shaped brown blotches,Propiconazole,Mix with organic compost and apply near roots,Warm and dry climate,10-10-10 NPK
Cotton,Root Rot,Yellowing of leaves with brown spots,Copper Oxychloride,Mix with organic compost and apply near roots,Warm and dry climate,Urea
Groundnut,Root Rot,Stem lesions with hollow decay,Neem Oil,Mix with organic compost and apply near roots,Low rainfall,Urea
Wheat,Leaf Spot,Wilting and stunted growth,Dithane M-45,Spray in low sunlight conditions for best absorption,Cold temperature,General NPK 20-20-20
Groundnut,Stem Rot,Yellowing of leaves with brown spots,Dithane M-45,Mix 2g per liter of water and spray on affected leaves,Hot summer season,Urea
Groundnut,Mosaic Virus,Mold growth on affected areas,Sulfur Dust,Mix with organic compost and apply near roots,High humidity,10-10-10 NPK
Wheat,Powdery Mildew,Mold growth on affected areas,Carbendazim,Use 5ml per liter in early morning,Hot summer season,Superphosphate
Rice,Powdery Mildew,Drooping leaves with yellow patches,Propiconazole,Mix 2g per liter of water and spray on affected leaves,Heavy rainfall,Superphosphate
Rice,Leaf Spot,Mold growth on affected areas,Mancozeb,Use every 10 days for effective results,Low rainfall,General NPK 20-20-20
Tomato,Leaf Spot,Mold growth on affected areas,Propiconazole,Use 5ml per liter in early morning,Heavy rainfall,General NPK 20-20-20
Soybean,Mosaic Virus,Mold growth on affected areas,Sulfur Dust,Use 5ml per liter in early morning,Hot summer season,10-10-10 NPK
Rice,Blight,Mold growth on affected areas,Trichoderma,Sprinkle powder directly on infected areas,Drought conditions,Superphosphate
Potato,Rust,Small brown or black circular spots,Chlorothalonil,Dilute with 3 liters of water for every hectare,Foggy conditions,General NPK 20-20-20
Potato,Root Rot,White powdery coating on leaves,Carbendazim,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Urea
Groundnut,Stem Rot,Stem lesions with hollow decay,Neem Oil,Dilute with 3 liters of water for every hectare,Warm and dry climate,Urea
Soybean,Mosaic Virus,Irregularly shaped brown blotches,Carbendazim,Apply when humidity is above 60%,High humidity,10-10-10 NPK
Soybean,Root Rot,Yellowing of leaves with brown spots,Chlorothalonil,Dilute with 3 liters of water for every hectare,Foggy conditions,Urea
Sugarcane,Root Rot,Wilting and stunted growth,Sulfur Dust,Dilute with 3 liters of water for every hectare,Heavy rainfall,Urea
Sugarcane,Leaf Spot,Black lesions on stem and roots,Carbendazim,Spray in low sunlight conditions for best absorption,Foggy conditions,General NPK 20-20-20
Groundnut,Leaf Spot,Black lesions on stem and roots,Copper Oxychloride,Use 5ml per liter in early morning,Heavy rainfall,General NPK 20-20-20
Rice,Stem Rot,Irregularly shaped brown blotches,Sulfur Dust,Sprinkle powder directly on infected areas,Heavy rainfall,Urea
Barley,Rust,Curling and mosaic pattern on leaves,Chlorothalonil,Apply when humidity is above 60%,Cold temperature,General NPK 20-20-20
Barley,Rust,Stem lesions with hollow decay,Chlorothalonil,Mix with organic compost and apply near roots,Warm and dry climate,General NPK 20-20-20
Sugarcane,Blight,Small brown or black circular spots,Copper Oxychloride,Mix with organic compost and apply near roots,High humidity,Superphosphate
Potato,Bacterial Wilt,Drooping leaves with yellow patches,Sulfur Dust,Spray in low sunlight conditions for best absorption,Heavy rainfall,Urea
Sugarcane,Powdery Mildew,Drooping leaves with yellow patches,Carbendazim,Spray in low sunlight conditions for best absorption,High humidity,Superphosphate
Barley,Bacterial Wilt,Drooping leaves with yellow patches,Mancozeb,Apply when humidity is above 60%,Heavy rainfall,Urea
Soybean,Bacterial Wilt,Drooping leaves with yellow patches,Sulfur Dust,Spray in low sunlight conditions for best absorption,Heavy rainfall,Urea
Maize,Leaf Spot,Irregularly shaped brown blotches,Neem Oil,Apply 1.5ml per liter of water weekly,Drought conditions,General NPK 20-20-20
Soybean,Powdery Mildew,Drooping leaves with yellow patches,Copper Oxychloride,Sprinkle powder directly on infected areas,Foggy conditions,Superphosphate
Rice,Mosaic Virus,Irregularly shaped brown blotches,Sulfur Dust,Apply 1.5ml per liter of water weekly,Foggy conditions,10-10-10 NPK
Groundnut,Stem Rot,Stem lesions with hollow decay,Carbendazim,Apply when humidity is above 60%,Heavy rainfall,Urea
Tomato,Stem Rot,Small brown or black circular spots,Chlorothalonil,Use every 10 days for effective results,Low rainfall,Urea
Maize,Bacterial Wilt,Black lesions on stem and roots,Chlorothalonil,Use every 10 days for effective results,High humidity,Urea
Soybean,Leaf Spot,Drooping leaves with yellow patches,Chlorothalonil,Sprinkle powder directly on infected areas,Drought conditions,General NPK 20-20-20
Cotton,Stem Rot,Stem lesions with hollow decay,Propiconazole,Apply 1.5ml per liter of water weekly,Heavy rainfall,Urea
Rice,Stem Rot,Drooping leaves with yellow patches,Neem Oil,Use every 10 days for effective results,Warm and dry climate,Urea
Tomato,Leaf Spot,Small brown or black circular spots,Mancozeb,Dilute with 3 liters of water for every hectare,Hot summer season,General NPK 20-20-20
Rice,Leaf Spot,Yellowing of leaves with brown spots,Dithane M-45,Dilute with 3 liters of water for every hectare,Foggy conditions,General NPK 20-20-20
Soybean,Powdery Mildew,Stem lesions with hollow decay,Trichoderma,Use every 10 days for effective results,Hot summer season,Superphosphate
Cotton,Blight,Black lesions on stem and roots,Mancozeb,Use every 10 days for effective results,Foggy conditions,Superphosphate
Rice,Powdery Mildew,Black lesions on stem and roots,Propiconazole,Apply 1.5ml per liter of water weekly,Heavy rainfall,Superphosphate
Groundnut,Rust,Mold growth on affected areas,Neem Oil,Sprinkle powder directly on infected areas,High humidity,General NPK 20-20-20
Groundnut,Mosaic Virus,Wilting and stunted growth,Dithane M-45,Mix with organic compost and apply near roots,Drought conditions,10-10-10 NPK
Rice,Rust,Stem lesions with hollow decay,Propiconazole,Apply 1.5ml per liter of water weekly,Foggy conditions,General NPK 20-20-20
Rice,Root Rot,Mold growth on affected areas,Propiconazole,Apply 1.5ml per liter of water weekly,Heavy rainfall,Urea
Wheat,Powdery Mildew,Wilting and stunted growth,Propiconazole,Mix 2g per liter of water and spray on affected leaves,High humidity,Superphosphate
Soybean,Root Rot,Curling and mosaic pattern on leaves,Sulfur Dust,Use 5ml per liter in early morning,Low rainfall,Urea
Rice,Blight,Black lesions on stem and roots,Neem Oil,Mix with organic compost and apply near roots,Warm and dry climate,Superphosphate
Soybean,Mosaic Virus,Drooping leaves with yellow patches,Propiconazole,Dilute with 3 liters of water for every hectare,Drought conditions,10-10-10 NPK
Groundnut,Powdery Mildew,Stem lesions with hollow decay,Mancozeb,Spray in low sunlight conditions for best absorption,Heavy rainfall,Superphosphate
Potato,Leaf Spot,Curling and mosaic pattern on leaves,Copper Oxychloride,Apply when humidity is above 60%,High humidity,General NPK 20-20-20
Maize,Root Rot,Curling and mosaic pattern on leaves,Sulfur Dust,Sprinkle powder directly on infected areas,Cold temperature,Urea
Tomato,Stem Rot,Wilting and stunted growth,Mancozeb,Sprinkle powder directly on infected areas,Hot summer season,Urea
Rice,Rust,Curling and mosaic pattern on leaves,Dithane M-45,Sprinkle powder directly on infected areas,Warm and dry climate,General NPK 20-20-20
Wheat,Stem Rot,Drooping leaves with yellow patches,Mancozeb,Sprinkle powder directly on infected areas,Warm and dry climate,Urea
Wheat,Bacterial Wilt,Black lesions on stem and roots,Neem Oil,Mix with organic compost and apply near roots,Low rainfall,Urea
Soybean,Mosaic Virus,Irregularly shaped brown blotches,Copper Oxychloride,Use 5ml per liter in early morning,Warm and dry climate,10-10-10 NPK
Maize,Rust,Curling and mosaic pattern on leaves,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,High humidity,General NPK 20-20-20
Soybean,Blight,Wilting and stunted growth,Carbendazim,Use 5ml per liter in early morning,Foggy conditions,Superphosphate
Cotton,Root Rot,Small brown or black circular spots,Chlorothalonil,Apply 1.5ml per liter of water weekly,Hot summer season,Urea
Sugarcane,Leaf Spot,Irregularly shaped brown blotches,Sulfur Dust,Use every 10 days for effective results,Drought conditions,General NPK 20-20-20
Sugarcane,Blight,Black lesions on stem and roots,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Superphosphate
Maize,Stem Rot,Curling and mosaic pattern on leaves,Carbendazim,Use 5ml per liter in early morning,Foggy conditions,Urea
Maize,Mosaic Virus,Curling and mosaic pattern on leaves,Propiconazole,Dilute with 3 liters of water for every hectare,Hot summer season,10-10-10 NPK
Rice,Bacterial Wilt,Mold growth on affected areas,Mancozeb,Use 5ml per liter in early morning,Foggy conditions,Urea
Maize,Rust,Wilting and stunted growth,Propiconazole,Apply when humidity is above 60%,Low rainfall,General NPK 20-20-20
Cotton,Rust,Wilting and stunted growth,Mancozeb,Use every 10 days for effective results,Low rainfall,General NPK 20-20-20
Maize,Mosaic Virus,Drooping leaves with yellow patches,Mancozeb,Sprinkle powder directly on infected areas,Warm and dry climate,10-10-10 NPK
Rice,Stem Rot,Small brown or black circular spots,Neem Oil,Apply when humidity is above 60%,Low rainfall,Urea
Cotton,Root Rot,Black lesions on stem and roots,Neem Oil,Dilute with 3 liters of water for every hectare,High humidity,Urea
Rice,Root Rot,Black lesions on stem and roots,Carbendazim,Spray in low sunlight conditions for best absorption,Foggy conditions,Urea
Sugarcane,Mosaic Virus,Irregularly shaped brown blotches,Dithane M-45,Sprinkle powder directly on infected areas,Hot summer season,10-10-10 NPK
Rice,Rust,Mold growth on affected areas,Mancozeb,Apply 1.5ml per liter of water weekly,Foggy conditions,General NPK 20-20-20
Maize,Stem Rot,Stem lesions with hollow decay,Carbendazim,Dilute with 3 liters of water for every hectare,Hot summer season,Urea
Tomato,Bacterial Wilt,Drooping leaves with yellow patches,Neem Oil,Apply 1.5ml per liter of water weekly,High humidity,Urea
Maize,Rust,White powdery coating on leaves,Mancozeb,Spray in low sunlight conditions for best absorption,Hot summer season,General NPK 20-20-20
Barley,Rust,Wilting and stunted growth,Trichoderma,Apply when humidity is above 60%,Cold temperature,General NPK 20-20-20
Rice,Powdery Mildew,Curling and mosaic pattern on leaves,Propiconazole,Use every 10 days for effective results,Drought conditions,Superphosphate
Barley,Blight,Mold growth on affected areas,Trichoderma,Dilute with 3 liters of water for every hectare,Foggy conditions,Superphosphate
Soybean,Stem Rot,Curling and mosaic pattern on leaves,Neem Oil,Dilute with 3 liters of water for every hectare,Cold temperature,Urea
Rice,Stem Rot,Black lesions on stem and roots,Carbendazim,Apply 1.5ml per liter of water weekly,Drought conditions,Urea
Cotton,Root Rot,Irregularly shaped brown blotches,Trichoderma,Use 5ml per liter in early morning,Foggy conditions,Urea
